,virus name,species,genus,family,Host plasticity No of species,Host plasticity No of species Impact,Host plasticity No of orders,Host plasticity No of orders Impact,Geography of the host,Geography of the host Impact,Number of primary high risk disease transmission interfaces where the virus has been detected,Number of primary high risk disease transmission interfaces where the virus has been detected Impact,Frequency of interaction between domestic animals and humans in the host ecosystem,Frequency of interaction between domestic animals and humans in the host ecosystem Impact,Intimacy of interaction between domestic animals and humans in the host ecosystem,Intimacy of interaction between domestic animals and humans in the host ecosystem Impact,Frequency of interaction between wild animals and humans in the host ecosystem,Frequency of interaction between wild animals and humans in the host ecosystem Impact,Intimacy of interaction between wild animals and humans in the host ecosystem,Intimacy of interaction between wild animals and humans in the host ecosystem Impact,Genetic relatedness between the host species and humans,Genetic relatedness between the host species and humans Impact,Land use in host ecosystem,Land use in host ecosystem Impact,Livestock density in host ecosystem,Livestock density in host ecosystem Impact,Human population density in host ecosystem,Human population density in host ecosystem Impact,Deforestation in host ecosystem,Deforestation in host ecosystem Impact,Urbanization in host ecosystem,Urbanization in host ecosystem Impact,Agricultural system change in host ecosystem,Agricultural system change in host ecosystem Impact,Genome classification of the virus,Genome classification of the virus Impact,Envelope status of the virus,Envelope status of the virus Impact,Viral genome segmentation,Viral genome segmentation Impact,Virus species infectivity in humans,Virus species infectivity in humans Impact,Virus species infectivity in terrestrial mammals excluding humans,Virus species infectivity in terrestrial mammals excluding humans Impact,Proportion of virus species known to infect humans in the viral family,Proportion of virus species known to infect humans in the viral family Impact,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family Impact,Proportion of viruses within a viral family that are known to infect more than 1 host species,Proportion of viruses within a viral family that are known to infect more than 1 host species Impact,Epidemicity of the virus species,Epidemicity of the virus species Impact,Geography of the virus in animals,Geography of the virus in animals Impact,Pandemic virus,Pandemic virus Impact,Proportion of known human pathogens in the viral family,Proportion of known human pathogens in the viral family Impact,Transmission mode of the virus,Transmission mode of the virus Impact,Animal to human transmission,Animal to human transmission Impact,Human to human transmission,Human to human transmission Impact,Duration of virus species infection in humans,Duration of virus species infection in humans Impact,Risk Score
729,ARENAVIRUS PREDICT ARENAV-2,Arenavirus PREDICT ArenaV-2,Mammarenavirus,Arenaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW-MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,48
730,MAMASTROVIRUS PREDICT MASTV-17,Mamastrovirus PREDICT MAstV-17,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
731,ADENOVIRUS PREDICT_ADV-30,Adenovirus PREDICT_AdV-30,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,48
732,ADENOVIRUS PREDICT_ADV-44,Adenovirus PREDICT_AdV-44,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
733,ADENOVIRUS PREDICT_ADV-51,Adenovirus PREDICT_AdV-51,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
734,ADENOVIRUS PREDICT_ADV-28,Adenovirus PREDICT_AdV-28,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
735,BAT ASTROVIRUS SK/HK63/CHN/2007,Bat astrovirus Sk/HK63/CHN/2007,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
736,CORONAVIRUS PREDICT COV-101,Coronavirus PREDICT CoV-101,Alphacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
737,PARAMYXOVIRUS PREDICT PMV-139,Paramyxovirus PREDICT PMV-139,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,50
738,MAMASTROVIRUS PREDICT MASTV-206,Mamastrovirus PREDICT MAstV-206,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
739,PICOBIRNAVIRUS PREDICT PBV-120,Picobirnavirus PREDICT PbV-120,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
740,PICOBIRNAVIRUS PREDICT PBV-34,Picobirnavirus PREDICT PbV-34,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
741,PICOBIRNAVIRUS PREDICT PBV-5,Picobirnavirus PREDICT PbV-5,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
742,PICOBIRNAVIRUS PREDICT PBV-50,Picobirnavirus PREDICT PbV-50,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
743,PICOBIRNAVIRUS PREDICT PBV-56,Picobirnavirus PREDICT PbV-56,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
744,PICOBIRNAVIRUS PREDICT PBV-86,Picobirnavirus PREDICT PbV-86,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
745,PICOBIRNAVIRUS PREDICT PBV-91,Picobirnavirus PREDICT PbV-91,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
746,MAMASTROVIRUS PREDICT MASTV-138,Mamastrovirus PREDICT MAstV-138,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,LOW-MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,50
747,CORONAVIRUS PREDICT COV-105,Coronavirus PREDICT CoV-105,Betacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
748,BAT ASTROVIRUS TM/GUANGXI/LD153/2007,Bat astrovirus Tm/Guangxi/LD153/2007,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,47
749,MAMASTROVIRUS PREDICT MASTV-23,Mamastrovirus PREDICT MAstV-23,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,47
750,POLYOMAOVIRUS PREDICT PYV-13,Polyomaovirus PREDICT PyV-13,Unassigned,Polyomaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,49
751,ADENOVIRUS PREDICT_ADV-64,Adenovirus PREDICT_AdV-64,Unassigned,Adenoviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,48
752,MAMASTROVIRUS PREDICT MASTV-192,Mamastrovirus PREDICT MAstV-192,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,50
753,MAMASTROVIRUS PREDICT MASTV-194,Mamastrovirus PREDICT MAstV-194,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,50
754,ADENOVIRUS PREDICT_ADV-42,Adenovirus PREDICT_AdV-42,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,48
755,PARAMYXOVIRUS PREDICT PMV-19,Paramyxovirus PREDICT PMV-19,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,48
756,PARAMYXOVIRUS PREDICT PMV-65,Paramyxovirus PREDICT PMV-65,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,48
757,MAMASTROVIRUS PREDICT MASTV-22,Mamastrovirus PREDICT MAstV-22,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,47
758,MAMASTROVIRUS PREDICT MASTV-26,Mamastrovirus PREDICT MAstV-26,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,47
